29	54	98	1	1
43	47	56	1	1
50	65	31	1	1
36	79	78	1	1
2	56	30	1	0.999999999999998
29	80	90	1	1
94	55	73	1	1
45	65	52	1	1
83	85	37	1	1
93	67	21	1	1
41	67	93	1	1
76	42	97	1	1
39	45	25	1	1
91	56	60	1	1
45	21	90	1	1
28	67	66	1	1
28	72	28	1	1
39	50	69	1	1
57	33	46	1	1
72	2	67	1	1
12	81	32	1	1
38	55	56	1	1
52	66	95	1	1
83	13	6	0.999954602131298	1
32	30	1	0.999993855825398	1
15	63	86	1	1
100	55	52	1	1
49	7	89	1	1
83	39	61	1	1
93	19	26	0.999999999999907	1
50	61	82	1	1
45	43	97	1	1
72	35	52	1	1
56	69	43	1	1
36	45	39	1	1
43	69	95	1	1
11	39	59	1	0.999999999721053
23	83	2	1	1
67	50	22	1	1
67	60	6	1	1
2	44	83	1	0.999999999999309
86	10	91	1	1
14	56	0	0.999999999999995	0.999999999999998
92	99	51	1	1
51	59	76	1	1
52	17	94	1	1
94	66	45	1	1
55	68	37	1	1
87	41	11	0.999999999998120	1
40	83	40	1	1
14	26	9	0.999876605424014	0.999954602131298
30	42	12	0.999999999721053	1
24	79	7	1	1
22	0	19	0.999876605424014	0.999997739675702
17	14	60	1	0.999997739675702
22	48	38	1	1
7	44	17	0.999999999986112	0.999999999241744
43	96	76	1	1
71	65	55	1	1
23	37	89	1	0.999999999999999
32	61	91	1	1
33	85	44	1	1
53	72	18	1	1
32	40	55	1	1
27	24	24	0.999999999721053	0.999999999999309
94	82	73	1	1
19	0	32	0.999999999999999	0.999954602131298
54	44	29	1	1
76	58	75	1	1
50	35	9	0.999999984770021	1
67	43	69	1	1
53	28	95	1	1
2	67	84	1	1
45	58	69	1	1
73	37	58	1	1
98	28	59	1	1
19	34	93	1	0.999999999999309
15	40	37	1	0.999999999897381
9	61	1	1	1
24	45	57	1	1
64	22	84	1	1
51	28	75	1	1
62	60	17	1	1
86	91	70	1	1
58	81	40	1	1
32	51	6	0.999999999999746	1
53	83	86	1	1
45	75	11	1	1
52	97	71	1	1
85	91	64	1	1
84	58	95	1	1
29	83	19	1	1
83	68	21	1	1
67	57	17	1	1
91	55	3	1	1
45	38	79	1	1
71	87	33	1	1
8	59	41	1	1
76	100	19	1	1
99	80	42	1	1
